Index,Feature,Name
1,"[161 121  80 ..., 174 118  78]",000bec180eb18c7604dcecc8fe0dba07
2,"[57 34 22 ..., 49 23 21]",001513dfcb2ffafc82cccf4d8bbaba97
3,"[103 102  97 ..., 114 113 110]",001cdf01b096e06d78e9e5112d419397
4,"[ 96  97  94 ..., 115  97  80]",00214f311d5d2247d5dfe4fe24b2303d
5,"[81 83 80 ..., 90 90 87]",0021f9ceb3235effd7fcde7f7538ed62
6,"[153 146 157 ..., 171 161 175]",002211c81b498ef88e1b40b9abf84e1d
7,"[18 21 34 ...,  7 12 11]",00290d3e1fdd27226ba27a8ce248ce85
8,"[ 87 107  69 ...,  97 119  46]",002a283a315af96eaea0e28e7163b21b
9,"[137 145  81 ..., 155 148 137]",003df8b8a8b05244b1d920bb6cf451f9
10,"[  7   8   1 ...,  87 104  51]",0042188c895a2f14ef64a918ed9c7b64
11,"[105  96 102 ...,  38  53  55]",004396df1acd0f1247b740ca2b14616e
12,"[ 19  11  19 ..., 125 122 117]",0067dc3eab0b3c3ef0439477624d85d6
13,"[100  46  40 ...,  78  35  28]",00693b8bc2470375cc744a6391d397ec
14,"[128 164  86 ..., 134 172  82]",006cc3ddb9dc1bd827479569fcdc52dc
15,"[38 60 15 ..., 63 89 36]",0075dc49dab4024d12fafe67074d8a81
16,"[140 123 106 ..., 134 118 103]",00792e341f3c6eb33663e415d0715370
17,"[  2  61 127 ...,   8   8  17]",007b5a16db9d9ff9d7ad39982703e429
18,"[190 161  59 ..., 226 151  52]",007b8a07882822475a4ce6581e70b1f8
19,"[ 2  2  0 ..., 64 71 55]",007ff9a78eba2aebb558afea3a51c469
20,"[ 32  34  29 ..., 152 100  43]",008887054b18ba3c7601792b6a453cc3
21,"[112 122 114 ..., 215 212 211]",008b1271ed1addaccf93783b39deab45
22,"[ 71  86  76 ..., 125 174 129]",008ba178d6dfc1a583617470d19c1673
23,"[ 99  95 101 ..., 133 120  44]",009509be3ca7cce0ff9e37c8b09b1125
24,"[154 164 166 ..., 174 134 124]",0097c6242c6f3071762d9f85c3ef1b2f
25,"[ 8 18 12 ..., 60 74 68]",00a338a92e4e7bf543340dc849230e75
26,"[138  86  93 ..., 211 208 205]",00a366d4b4a9bbb6c8a63126697b7656
27,"[ 74  83  80 ..., 255 255 255]",00a862390341c5be090dd72bd2bc19ef
28,"[190 206 206 ..., 219 221 217]",00b7d114bc5166a629a3cc03d9329120
29,"[219 115 124 ...,  94 119 156]",00ba244566e36e0af3d979320fd3017f
30,"[ 15  17  16 ..., 157 140 122]",00bee065dcec471f26394855c5c2f3de
31,"[171 117  79 ...,  72  31  14]",00ca18751837cd6a22813f8e221f7819
32,"[ 86 123  43 ...,  90 113  14]",00cc68a50b2d016a6b29af628ea4e04b
33,"[14 28 18 ..., 37 72 21]",00ddcec076073cc96f82c27bf4548fbc
34,"[183 183 182 ...,  44  45  19]",00e9ed3fab1d2032603d1a90e557976f
35,"[31 32 38 ...,  9 14 26]",00f34ac0a16ef43e6fd1de49a26081ce
36,"[143 131 121 ..., 103  90  80]",00fa641312604199831755f96109fde7
37,"[178 187 200 ..., 191 183 120]",00fda6ecca54efbac26e907be4b0b78b
38,"[ 18  43  57 ..., 185 103  37]",0100f55e4f0fe28f2c0465d3fc4b9897
39,"[ 84 133  43 ...,  83 116  64]",010d65bd29d246aea53d9849da142ccf
40,"[229 224 218 ..., 152 177 151]",010e87fdf252645a827e37470e65e842
41,"[221 226 204 ..., 134 149 111]",011761e3ae8ec5e188e8f0bcb59bb8b6
42,"[ 62  49  23 ..., 188 165  73]",011bd7fd7c036dbb243d0e37329c77b7
43,"[ 69 117  75 ..., 110 102  58]",011e06760794850c40f23d6426c40774
44,"[180 165 133 ..., 140 106  87]",0120343862761d052d6a7ade81625c94
45,"[112 113  98 ..., 192 190 198]",01268f0007876a692907bda89468184c
46,"[87 68 62 ..., 55 41 32]",012ff2d21dad14452ea16b4cda7eef4c
47,"[123 110  78 ...,  66 102 175]",013aed490e0e15a8989e12ae0d0ccfaa
48,"[171 188 125 ...,   4   1   1]",013c43f40f0fb13fa25ac0c2a70fd48f
49,"[88 47 19 ..., 90 77 73]",013f8fdf6d638c7bb042f5f17e8a9fdc
50,"[132 152  62 ..., 115 154  96]",0140b05bfc2fd43f2819fab3d8566109
51,"[125 111  95 ..., 255 247 225]",014c2b0cd8e3b517e649cecf8543b8fe
52,"[247 232 234 ...,  27  13  18]",0159b6457aac89f43d1c1931cdf7500b
53,"[49 35 26 ..., 99 58 30]",015b363b062f602e7ec04ce28e640d05
54,"[194 204 212 ..., 202 194 190]",015b4aa50dd9b4a0d26dc0c38f41b489
55,"[ 68  65  53 ..., 201 180 149]",015d86b2fcb36f0fdfbe94a66c0e3400
56,"[166 124  70 ..., 187 159 121]",0161847d5bfae154af084993fa26a1a7
57,"[ 30  38  41 ..., 241 250 222]",0162107acd8f2588c0944b791d61bb0c
58,"[ 72  70  84 ...,  43 108 167]",0162b3e0144fb1d1ab82fbff3ace9938
59,"[179 165 152 ..., 119  82  57]",01680178ca6664294efb493a46014a82
60,"[6 8 4 ..., 5 5 3]",0169294085e94d1250587b38e4fbb532
61,"[91 96 60 ..., 42 48 42]",016bcdb05e2d0e0878877df21b8c3cff
62,"[242 241 239 ..., 242 241 247]",0177a92a906192bfde8adbb8a237e524
63,"[165 169 192 ...,  37  46  33]",018aae5768833c34e3df30d63429251e
64,"[164 163 161 ...,  71  76  80]",0192d7174233ebdb3d720000413829ac
65,"[255 255 254 ..., 145  87  71]",019c92d1ff56deb9d75d809a92bc84d8
66,"[154 161 171 ..., 149 136 132]",019ff93e03802e661577b5869e099dcb
67,"[160 131  67 ...,  98  85  67]",01a3b064c56edbe3abf55051b16134d4
68,"[182  44   3 ..., 129  76  35]",01a41985ab8209e750588fa348d635be
69,"[145 136 124 ..., 135 124 116]",01b09bdac592b0eb9909dd105314ad3a
70,"[17 15 12 ..., 18 15 12]",01b35a06b00e4a832b935cf8d51303c1
71,"[151 172 193 ..., 139 157 172]",01b36cb1b80ab8c3a7d2b7128ad21bdc
72,"[25 26 19 ..., 62 62 32]",01b6c2bd3053535a58d8de763cf06aa0
73,"[233 251 254 ...,  14  17  12]",01b849a7e4fbc545f6b2806cb87ab371
74,"[42 30 21 ..., 52 38 28]",01c230ec18eed427cf5b1db1a833024d
75,"[248 250 249 ...,  69 122 103]",01d0f3692e576b3cde511285352aed4a
76,"[172 155 151 ..., 107 100 100]",01de1f7b7b4465a6d130a56746af66a6
77,"[138 139 134 ..., 111 108 109]",01dffcb02d6cba7d2b101fcc93daa6f1
78,"[71 74 79 ..., 62 56 46]",01e2245b46eb747260ff80f1c892daef
79,"[171 161 151 ..., 183 173 163]",01e4d3d1cb704ed819bce35d22e716a7
80,"[184 218 245 ...,  73  92  40]",01e787576c003930f96c966f9c3e1d44
81,"[ 79  32  23 ..., 107  51  54]",01ee3c7ff9bcaba9874183135877670e
82,"[149 156 113 ..., 148 159 105]",01f397f16fb2d7d76fdbce4e2207c1a3
83,"[1 1 1 ..., 2 2 2]",01f429667104c0c5a5f321700f15435c
84,"[154 146  99 ..., 129 124  78]",01f8540fb1084107a6eb3e528f82c1aa
85,"[ 37  28  26 ..., 106  78  65]",0206c12e8984e3c8a166cc272de25d6f
86,"[144 134 128 ..., 140 134 137]",0207803a6ce1bfad98e7f095c965e44a
87,"[205 221 242 ..., 185 180 177]",020ecfccf3c900b01ce831abbf20b485
88,"[93 86 73 ..., 94 84 70]",0214e2d616ec7eb7cb0d8c19a7f29e70
89,"[ 49  47  42 ..., 131 135 145]",021b5a49189665c0442c19b5b33e8cf1
90,"[172 164 153 ..., 201 191 191]",0229677aec75183a16de9d6f6658fae2
91,"[ 94 170 210 ..., 108  77  32]",022b34fd8734b39995a9f38a4f3e7b6b
92,"[89 90 90 ..., 46 77 54]",0234695e7a548e2ad1b2ac91d6486c1c
